 column_name  |          data_type          |  column_default   
--------------+-----------------------------+-------------------
 id           | text                        | 
 userId       | text                        | 
 jobId        | text                        | 
 phaseId      | text                        | 
 date         | timestamp without time zone | 
 startTime    | timestamp without time zone | 
 endTime      | timestamp without time zone | 
 hours        | double precision            | 
 description  | text                        | 
 gpsLatitude  | double precision            | 
 gpsLongitude | double precision            | 
 synced       | boolean                     | false
 quickbooksId | text                        | 
 createdAt    | timestamp without time zone | CURRENT_TIMESTAMP
 updatedAt    | timestamp without time zone | 
 regularRate  | numeric                     | 
 overtimeRate | numeric                     | 
 totalCost    | numeric                     | 
(18 rows)

